X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
5,5,5,5,5,5,5,5,4,5,3,4,5,5,5,4,50,75,1,0,35,1,20
5,5,4,3,3,4,5,3,3,5,3,3,5,5,6,4,30,35,0,0,61,2,20
5,5,4,3,3,4,5,3,3,5,3,3,5,5,6,6,25,20,0,0,58,2,25
5,5,7,3,2,7,4,3,2,5,2,3,5,5,5,4,65,85,1,0,19,1,25
5,5,7,3,5,7,5,5,3,6,4,5,6,5,6,5,45,40,0,0,31,3,60
5,4,5,3,3,5,5,5,3,6,4,4,4,4,5,4,75,100,1,0,18,1,25
5,5,7,4,3,7,6,4,3,5,5,4,6,5,6,5,30,25,0,0,48,2,35
5,5,7,4,3,7,6,4,3,5,5,4,6,5,6,5,25,20,0,0,48,2,25
3,4,5,4,4,5,4,5,3,6,3,4,5,4,4,4,60,65,1,0,26,1,20
5,5,6,2,5,6,4,5,2,5,2,5,5,5,5,5,55,50,0,0,20,1,35
6,5,6,3,5,5,6,5,3,5,3,5,6,7,5,7,20,15,0,0,34,2,95
5,5,6,2,4,6,4,5,2,5,3,5,5,5,5,5,40,35,0,0,27,1,25
6,5,5,3,3,5,5,4,3,5,4,3,5,6,6,6,70,95,1,0,19,2,25
6,4,4,2,5,4,4,5,2,4,3,5,5,4,4,4,95,100,1,0,18,1,25
5,5,3,2,4,3,3,5,2,5,2,5,5,5,5,5,90,95,1,0,27,1,20
6,5,7,5,5,7,5,4,3,6,4,4,7,6,7,6,35,30,0,0,33,3,75
6,5,7,5,5,7,5,4,3,6,4,4,7,6,7,6,30,25,0,0,37,3,70
3,5,4,3,5,4,5,5,3,5,2,5,6,5,4,5,70,75,1,0,26,2,25
3,5,4,3,5,4,5,5,3,5,2,5,6,5,4,5,75,80,1,0,23,2,20
5,5,7,3,5,6,5,5,3,6,4,5,6,5,6,5,45,40,0,0,31,3,35
5,5,7,3,5,6,5,5,3,6,4,5,6,5,6,5,40,35,0,0,29,3,30
5,5,7,2,4,7,5,5,2,5,3,4,5,5,5,5,45,70,1,0,21,1,30
5,5,6,2,5,5,5,5,2,5,2,5,5,5,5,5,65,70,1,0,27,1,15
5,5,6,2,5,5,5,5,2,5,2,5,5,5,5,5,60,65,1,0,26,1,45
4,4,3,3,3,3,6,5,2,4,4,4,4,4,4,4,90,100,1,0,19,1,10
4,4,3,3,3,3,6,5,2,4,4,4,4,4,4,4,100,95,1,0,18,1,5
6,5,5,5,5,5,5,5,5,4,3,5,5,4,4,4,50,75,1,0,20,2,20
4,4,6,2,4,6,5,4,2,5,3,4,5,5,5,5,50,40,0,0,28,1,35
4,4,3,2,4,3,3,4,2,4,2,4,5,4,5,4,85,95,1,0,19,1,25
6,6,7,3,5,7,4,5,3,6,2,5,6,6,6,6,15,5,0,0,57,3,30
6,6,7,3,5,7,4,5,3,6,2,5,6,6,6,6,10,0,0,0,54,3,30
5,5,7,2,3,6,5,3,1,6,1,3,4,4,5,4,90,95,1,0,26,1,20
5,5,3,3,4,3,4,4,3,5,3,4,5,5,5,5,25,20,0,0,24,1,35
3,7,6,5,5,6,3,5,4,5,4,5,7,7,7,7,15,5,0,1,55,3,90
6,5,4,4,5,4,4,5,4,4,4,5,7,5,5,5,60,70,1,1,22,1,50
5,7,4,4,5,4,4,5,3,5,4,5,7,7,7,7,45,25,0,1,66,3,95
4,5,7,4,5,7,4,5,2,6,3,5,7,6,7,7,40,25,0,1,22,3,70
5,4,3,3,3,3,4,3,3,5,4,3,6,5,6,6,35,25,0,1,25,2,25
3,5,7,5,5,6,4,5,3,6,4,5,7,5,6,6,20,10,0,1,33,3,50
3,5,7,5,5,6,4,5,3,6,4,5,7,5,6,6,20,15,0,1,33,3,55
5,5,7,5,3,7,4,4,4,6,5,3,7,6,7,7,20,5,0,1,36,3,75
5,5,7,5,3,7,4,4,4,6,5,3,7,6,7,7,25,10,0,1,34,3,85
6,4,6,3,5,6,4,5,3,5,4,5,6,7,6,6,30,35,1,1,33,2,45
4,4,5,5,5,5,4,5,3,6,4,5,7,7,6,7,35,40,1,1,35,3,85
5,5,7,4,3,7,5,3,4,5,3,3,5,5,5,5,65,70,1,1,19,3,40
6,6,5,4,3,5,6,3,4,6,4,3,6,6,6,6,55,60,1,1,25,3,60
5,4,5,5,5,5,6,5,3,4,4,5,7,6,5,7,35,20,0,1,36,1,55
6,6,6,4,3,6,3,3,4,5,4,3,6,6,6,7,25,15,0,1,37,2,65
4,5,7,4,5,7,6,5,3,6,4,5,6,7,6,7,25,10,0,1,49,3,80
4,4,7,5,3,6,6,3,4,6,6,3,7,6,5,6,70,75,1,1,23,3,70
3,3,4,5,5,4,3,5,4,4,4,5,5,5,6,6,5,10,1,1,33,3,75
6,7,5,4,5,5,7,5,4,5,4,5,7,7,7,7,0,5,0,1,54,3,80
4,5,4,4,5,4,6,5,3,6,4,5,6,7,6,7,40,45,1,1,35,2,75
6,5,5,5,5,5,5,5,4,5,3,4,5,4,5,4,75,85,1,0,39,1,40
5,5,4,3,3,4,5,3,3,4,3,3,5,5,6,5,30,35,0,0,59,2,35
6,6,7,3,5,7,6,5,3,6,4,5,6,6,6,6,65,70,0,0,27,3,60
5,4,5,3,3,5,5,5,3,6,4,4,4,4,5,4,100,90,1,0,18,1,50
4,4,5,4,4,5,4,5,3,6,3,4,4,4,4,4,70,65,1,0,26,1,55
6,5,6,3,5,5,6,5,3,5,3,5,6,7,5,7,30,35,0,0,34,2,40
6,5,6,3,5,5,6,5,3,5,3,5,6,7,5,7,35,30,0,0,34,2,50
5,5,6,2,4,6,5,5,2,6,3,5,5,5,5,5,45,40,0,0,32,1,45
6,5,5,3,3,5,5,4,3,5,4,3,5,6,7,6,80,85,1,0,19,2,50
6,5,4,2,5,4,6,5,2,4,3,5,5,4,4,4,85,90,1,0,18,1,30
6,5,7,5,5,7,7,4,3,6,4,4,7,6,7,6,45,40,0,0,40,3,75
6,5,7,5,5,7,7,4,3,6,4,4,7,6,7,6,40,35,0,0,35,3,65
5,5,6,2,5,5,5,5,2,5,2,5,5,5,5,5,75,80,0,0,24,1,40
5,5,6,2,5,5,5,5,2,5,2,5,5,5,5,5,70,75,0,0,26,1,45
4,5,5,5,5,5,4,5,5,4,3,5,5,4,4,4,85,90,1,0,20,2,40
4,5,5,5,5,5,4,5,5,4,3,5,5,4,4,4,80,85,1,0,20,2,50
5,5,6,2,4,6,5,4,2,6,3,4,5,5,5,5,60,60,0,0,21,1,40
6,6,7,3,5,7,6,5,3,5,2,5,6,6,6,6,15,20,0,0,68,3,45
5,5,7,2,3,6,4,3,1,6,1,3,4,3,4,3,90,85,1,0,24,1,30
6,5,4,4,5,4,5,5,4,4,4,5,6,5,5,5,75,65,1,1,27,1,80
4,7,7,4,5,7,6,5,2,6,3,5,7,7,7,7,50,45,0,1,20,3,90
3,5,7,5,5,6,6,5,3,6,4,5,7,6,6,7,20,10,0,1,37,3,80
5,5,7,5,3,7,6,4,4,6,5,3,7,6,7,6,25,20,0,1,38,3,75
4,6,5,5,5,5,6,5,3,6,4,5,7,7,6,7,25,30,1,1,36,3,70
